TABLEID,SCHEMANAME,TABLE DESCRIPTION,TABLE NAME,COLUMNNAME,DATATYPE,PRIMARYKEY,FOREIGNKEY,DESCRIPTION
1,ATHENAONE,Allowable Schedule Category,ALLOWABLESCHEDULECATEGORY,CONTEXTID,"NUMBER(12,0)",Primary Key,,The ID of the tablespace this record comes from.
1,ATHENAONE,Allowable Schedule Category,ALLOWABLESCHEDULECATEGORY,CONTEXTNAME,VARCHAR(16777216),,,The name of the tablespace this record comes from
1,ATHENAONE,Allowable Schedule Category,ALLOWABLESCHEDULECATEGORY,CONTEXTPARENTCONTEXTID,"NUMBER(12,0)",,CONTEXTID,The Parent tablespace ID of the tablespace this record comes from 
1,ATHENAONE,Allowable Schedule Category,ALLOWABLESCHEDULECATEGORY,ALLOWABLESCHEDULECATEGORYID,"NUMBER(22,0)",Primary Key,,"The athena-assigned ID for the allowable category: a group of insurance packages that use the same allowable schedule. Defined by any of the following: Insurance Reporting Category, Insurance Product Type, and/or Insurance Package."
1,ATHENAONE,Allowable Schedule Category,ALLOWABLESCHEDULECATEGORY,TYPE,VARCHAR(16777216),Primary Key,,Either GLOBAL (athenaNet standard allowable category for the insurance package) or LOCAL (client-defined allowable category for the insurance package).
1,ATHENAONE,Allowable Schedule Category,ALLOWABLESCHEDULECATEGORY,OPERATIONID,"NUMBER(12,0)",Primary Key,,
1,ATHENAONE,Allowable Schedule Category,ALLOWABLESCHEDULECATEGORY,FEESCHEDULEID,"NUMBER(12,0)",,FEESCHEDULE.FEESCHEDULEID,The ID for the fee schedule. A fee schedule specifies a payer and a date range for which a particular fee is valid for a procedure.
1,ATHENAONE,Allowable Schedule Category,ALLOWABLESCHEDULECATEGORY,NAME,VARCHAR(16777216),,,The name of the allowable category.
1,ATHENAONE,Allowable Schedule Category,ALLOWABLESCHEDULECATEGORY,DELETEDDATETIME,TIMESTAMP_NTZ(9),,,"The date and time, in US/Eastern, the allowable category was deleted."
1,ATHENAONE,Allowable Schedule Category,ALLOWABLESCHEDULECATEGORY,DELETEDBY,VARCHAR(16777216),,,The user who deleted the allowable category.
1,ATHENAONE,Allowable Schedule Category,ALLOWABLESCHEDULECATEGORY,LASTUPDATED,TIMESTAMP_NTZ(9),,,Indicates when the row was last updated in US/Eastern time zone.
1,ATHENAONE,Allowable Schedule Category,ALLOWABLESCHEDULECATEGORY,ISDELETED,BOOLEAN,,,Indicates that record is deleted
2,ATHENAONE,Anesthesia Case,ANESTHESIACASE,CONTEXTID,"NUMBER(12,0)",Primary Key,,The ID of the tablespace this record comes from.
2,ATHENAONE,Anesthesia Case,ANESTHESIACASE,CONTEXTNAME,VARCHAR(16777216),,,The name of the tablespace this record comes from
2,ATHENAONE,Anesthesia Case,ANESTHESIACASE,CONTEXTPARENTCONTEXTID,"NUMBER(12,0)",,CONTEXTID,The Parent tablespace ID of the tablespace this record comes from 
2,ATHENAONE,Anesthesia Case,ANESTHESIACASE,ANESTHESIACASEID,"NUMBER(12,0)",Primary Key,,The athena-assigned ID for the anesthesia case specification; the primary key for this table.
2,ATHENAONE,Anesthesia Case,ANESTHESIACASE,PATIENTID,"NUMBER(12,0)",,PATIENT.PATIENTID,The ID of the patient on which the service was performed.
2,ATHENAONE,Anesthesia Case,ANESTHESIACASE,SERVICEDEPARTMENTID,"NUMBER(12,0)",,DEPARTMENT.DEPARTMENTID,The department where the service was performed.
2,ATHENAONE,Anesthesia Case,ANESTHESIACASE,PARENTANESTHESIACASEID,"NUMBER(12,0)",,ANESTHESIACASE.ANESTHESIACASEID,The ID of the parent case (for add-on cases).
2,ATHENAONE,Anesthesia Case,ANESTHESIACASE,TIMESHEETBATCHID,"NUMBER(12,0)",,,The ID of the timesheet batch associated with the anesthesia case.
